Algo,InconsModelSize,NoOfCoreRxns,Runtime,LPS
SP,6500,1450,0.5294584,9
SW,6500,1450,6.825991,12
FC,6500,1550,73.5916921,3590
SPcc_SPc,6500,1550,0.5610407,12
SP,6500,1550,0.5229285,9
SW,6500,1550,6.8393543,11
FC,6500,1650,73.3762984,3596
SPcc_SPc,6500,1650,0.5313576,12
SP,6500,1650,0.5554717,9
SW,6500,1650,6.9185165,12
FC,6500,1750,73.3220113,3586
SPcc_SPc,6500,1750,0.6075456,13
SP,6500,1750,0.5312376,9
SW,6500,1750,7.2134306,9
FC,6500,1850,74.885432,3594
SPcc_SPc,6500,1850,0.6111119,13
SP,6500,1850,0.5465088,9
SW,6500,1850,6.8218499,14
FC,6500,1950,74.293285,3592
SPcc_SPc,6500,1950,0.5639207,12
SP,6500,1950,0.5441383,9
SW,6500,1950,6.8459804,12
FC,6500,2050,74.2173872,3598
SPcc_SPc,6500,2050,0.5671927,13
SP,6500,2050,0.4428522,7
SW,6500,2050,7.0029508,13
FC,6500,2150,74.190879,3596
SPcc_SPc,6500,2150,0.567048,12
SP,6500,2150,0.5365049,9
SW,6500,2150,6.8662141,10
FC,6500,2250,73.9863269,3598
SPcc_SPc,6500,2250,0.6927799,19
SP,6500,2250,0.5244787,9
SW,6500,2250,6.8354865,11
FC,6500,2350,73.941191,3586
SPcc_SPc,6500,2350,0.6351417,16
SP,6500,2350,0.4348252,7
SW,6500,2350,6.7576072,10
FC,6500,2450,74.0103685,3592
SPcc_SPc,6500,2450,0.5033488,10
SP,6500,2450,0.5396161,9
SW,6500,2450,7.2106092,16
FC,6500,2550,74.0180655,3602
SPcc_SPc,6500,2550,0.5861672,12
SP,6500,2550,0.4356398,7
SW,6500,2550,6.8732792,16
FC,6500,2650,73.6008403,3590
SPcc_SPc,6500,2650,0.5594225,12
SP,6500,2650,0.4987255,9
SW,6500,2650,6.9266683,13
FC,6500,2750,74.0169091,3598
SPcc_SPc,6500,2750,0.4892752,10
SP,6500,2750,0.5350911,9
SW,6500,2750,6.7849782,13
FC,6500,2850,74.1908395,3600
SPcc_SPc,6500,2850,0.5943762,12
SP,6500,2850,0.5212801,9
SW,6500,2850,6.9188489,12
FC,6500,2950,73.4274084,3594
SPcc_SPc,6500,2950,0.5719895,12
SP,6500,2950,0.5204448,9
SW,6500,2950,6.8691878,13
FC,6500,3050,73.6277645,3586
SPcc_SPc,6500,3050,0.5921601,12
SP,6500,3050,0.5330084,9
SW,6500,3050,6.800911,13
FC,6500,3150,73.8104574,3604
SPcc_SPc,6500,3150,0.5840363,13
SP,6500,3150,0.5273317,9
SW,6500,3150,6.99439,13
FC,6500,3250,74.2195578,3598
SPcc_SPc,6500,3250,0.6423564,16
SP,6500,3250,0.5427004,9
SW,6500,3250,6.7479834,11
FC,6500,3350,73.952095,3598
SPcc_SPc,6500,3350,0.6128844,14
SP,6500,3350,0.5205691,9
SW,6500,3350,6.7869064,11
FC,6500,3450,74.234837,3598
SPcc_SPc,6500,3450,0.5957751,12
SP,6500,3450,0.5310417,9
SW,6500,3450,6.8369528,14
FC,6500,3550,74.0071707,3584
SPcc_SPc,6500,3550,0.6618291,16
SP,6500,3550,0.5057672,9
SW,6500,3550,6.846434,11
FC,6500,3650,73.9684762,3598
SPcc_SPc,6500,3650,0.5584203,12
SP,6500,3650,0.5298011,9
SW,6500,3650,6.8194693,12
FC,6500,3750,73.9198379,3610
SPcc_SPc,6500,3750,0.6251706,15
