Model,No_of_new_rxns,No_of_rxns_with_ec_numbers_from_clean
Actinomyces_timonensis_DSM_23838,368,100
Actinomyces_turicensis_ACS_279_V_Col4,449,101
Actinomyces_urogenitalis_DSM_15434,401,71
Actinomyces_urogenitalis_S6_C4,365,78
Actinomyces_viscosus_C505,470,96
Acutalibacter_muris_KB18,363,110
Adlercreutzia_equolifaciens_DSM_19450,376,76
Adlercreutzia_muris_DSM_29508,330,69
Advenella_mimigardefordensis_DPN7,353,89
Aerococcus_christensenii_CCUG28831,403,77
Aerococcus_viridans_ATCC_11563,470,103
Aerococcus_viridans_LL1,494,95
Aeromicrobium_massiliense_JC14,439,117
Aeromonas_caviae_Ae398,439,95
Aeromonas_caviae_FDAARGOS_72,337,99
Aeromonas_caviae_FDAARGOS_75,294,89
Aeromonas_dhakensis_173,441,83
Aeromonas_dhakensis_277,445,90
Aeromonas_dhakensis_SSU,437,85
Aeromonas_hydrophila_116,367,79
Aeromonas_hydrophila_14,438,86
Aeromonas_hydrophila_187,462,95
Aeromonas_hydrophila_259,476,91
Aeromonas_hydrophila_AH10,309,78
Aeromonas_hydrophila_ML09_119,492,96
Aeromonas_hydrophila_RB_AH,299,80
Aeromonas_hydrophila_SNUFPC_A8,445,90
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966,417,78
Aeromonas_jandaei_Riv2,410,106
Aeromonas_media_ARB13,332,92
Aeromonas_media_WS,421,96
Aeromonas_veronii_AER397,446,93
Aeromonas_veronii_AER39,464,96
Aeromonas_veronii_AMC34,469,97
Aeromonas_veronii_AMC35,484,94
Aeromonas_veronii_AVNIH1,338,101
Aeromonas_veronii_B565,416,90
Aeromonas_veronii_TH0426,323,103
Afipia_birgiae_34632,460,97
Aggregatibacter_aphrophilus_ATCC_33389,456,94
Aggregatibacter_aphrophilus_F0387,468,94
Aggregatibacter_aphrophilus_NJ8700,386,82
Aggregatibacter_aphrophilus_W10433,378,85
Aggregatibacter_segnis_933_AAPH_107_59761_2565235,384,84
Aggregatibacter_segnis_ATCC_33393,373,79
Agrobacterium_fabrum_str_C58,434,100
Agrobacterium_tumefaciens_CCNWGS0286,397,96
Agrobacterium_tumefaciens_F2,385,97
Agrobacterium_tumefaciens_str_Cherry_2E_2_2,362,96
Akkermansia_muciniphila_ATCC_BAA_835,327,61
Akkermansia_muciniphila_YL44,352,59
Akkermansia_sp_KLE1797,384,59
Akkermansia_sp_KLE1798,393,63
Alcaligenes_faecalis_NBIB_017,358,65
Alcaligenes_faecalis_ZD02,402,66
Alcaligenes_faecalis_subsp_faecalis_NBRC_13111,437,82
Alcaligenes_faecalis_subsp_faecalis_NCIB_8687,348,61
Aliivibrio_fischeri_ES114,368,103
Aliivibrio_fischeri_MJ11,341,105
Aliivibrio_salmonicida_LFI1238,344,89
Alistipes_finegoldii_DSM_17242,359,75
Alistipes_ihumii_AP11,379,81
Alistipes_indistinctus_YIT_12060,422,69
Alistipes_obesi_isolate_ph8,369,76
Alistipes_onderdonkii_DSM_19147,387,62
Alistipes_provencensis_DSM_102308,475,32
Alistipes_putredinis_DSM_17216,410,64
Alistipes_senegalensis_JC50,420,69
Alistipes_shahii_WAL_8301,427,63
